NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.32277045	5.3324466	0	0	0	4576	"tags=58%, list=27%, signal=79%"
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	198	0.31696862	5.231715	0	0	0	5471	"tags=63%, list=32%, signal=91%"
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	96	0.33347943	3.815168	0	0	0	2538	"tags=48%, list=15%, signal=56%"
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	198	0.14398482	2.3186812	0.004132231	0.003279222	0.019	3112	"tags=32%, list=18%, signal=39%"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	112	0.18572852	2.3046994	0	0.002876087	0.021	4045	"tags=42%, list=24%, signal=55%"
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	198	0.11872695	1.9356924	0.005725191	0.02221575	0.17	6062	"tags=47%, list=35%, signal=72%"
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	199	0.109740295	1.7893034	0.019880716	0.04140183	0.329	8855	"tags=62%, list=51%, signal=127%"
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	142	0.12692724	1.7522303	0.030737706	0.04496301	0.385	11163	"tags=77%, list=65%, signal=219%"
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	0.1521447	1.752167	0.024242423	0.040044043	0.386	7075	"tags=56%, list=41%, signal=95%"
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	116	0.1305632	1.6668699	0.025641026	0.054900113	0.525	9635	"tags=69%, list=56%, signal=156%"
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	199	0.094994925	1.575859	0.046184737	0.07950002	0.704	10057	"tags=68%, list=58%, signal=161%"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	197	0.077316634	1.2513058	0.18259023	0.28228584	0.994	10214	"tags=67%, list=59%, signal=163%"
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	98	0.10262527	1.161831	0.27380952	0.36102843	0.999	8603	"tags=60%, list=50%, signal=120%"
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	Details ...	35	0.13783431	0.99766093	0.44306418	0.56698745	1	13365	"tags=91%, list=78%, signal=409%"
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.13586071	0.9637209	0.5	0.5823576	1	6270	"tags=50%, list=36%, signal=78%"
