File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
cdf2b761-4046-4c68-a701-05381d6ca9fa	50bd1c24-a31a-4d5d-8302-e47c32115783.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-CS-4942	TCGA-CS-4942-01A	Primary Tumor
b5b3b72a-f9f4-40a6-b7b8-b45d93b3c989	115fb6d6-cbc4-4525-b5cb-1b5def74d936.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-S9-A6TY	TCGA-S9-A6TY-01A	Primary Tumor
5866fdda-1ae2-4223-bf97-edd2494caac4	c97a8237-60b4-4586-989e-ef82542eedca.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-QH-A86X	TCGA-QH-A86X-01A	Primary Tumor
b2d4f4b9-feec-456f-a0a8-d7af0bed6816	25f5c640-600a-4874-af11-1ff647b0b26d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DU-7290	TCGA-DU-7290-01A	Primary Tumor
e193195e-b39f-402f-b9fe-98155a9bf0d9	74a5a6c9-60ff-427d-9797-c4c8888aeeba.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-QH-A6XC	TCGA-QH-A6XC-01A	Primary Tumor
e3dbb7e0-25b5-45f2-945c-6d45f76b6d2c	cfd39475-36d0-415f-8905-5c4b88fca039.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-TM-A84T	TCGA-TM-A84T-01A	Primary Tumor
582acd18-17e3-4686-bfba-a399a619fd9b	c8b0b372-1359-4415-a11c-8cd6d60d03ea.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-S9-A6WH	TCGA-S9-A6WH-01A	Primary Tumor
7629419a-be7d-43c5-91cd-d42278d43658	7e0e2b5e-425e-43b1-b2a4-2ff04c6d0a7d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-WY-A85B	TCGA-WY-A85B-01A	Primary Tumor
38653b91-d04c-4657-94d0-2befa51d8f46	ba57f120-b348-431e-b7d7-8bae2196480e.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-TM-A84R	TCGA-TM-A84R-01A	Primary Tumor
f15bf99e-5715-45e8-8080-91a5b5c8de28	329f3574-6fd3-498f-a904-a7b268bd04be.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DU-A76L	TCGA-DU-A76L-01A	Primary Tumor
2f349428-8518-4a4f-99c8-32c743861031	21badc40-5fb8-496d-a3e6-4f0704500a5d.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-DU-6396	TCGA-DU-6396-01A	Primary Tumor
37d86cad-cb25-4b97-97d9-5a4f98778e4d	6cab3424-1d15-46ac-b858-e35df62e83dd.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-RY-A840	TCGA-RY-A840-01A	Primary Tumor
366c7cd8-d24c-4508-b83b-8a7b3a7d4dc9	93beb008-dd59-467d-86c4-c7a1e33313a3.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LGG	TCGA-P5-A5F4	TCGA-P5-A5F4-01A	Primary Tumor
