OSC.1	OSC.2	OSC.3	p	q	enriched.osc	nsamples	maxcol	event.size	class.percent	event.percent
207	2	115	5.27970237420581e-100	2.2702720209085e-98	OSC.1	209	207	324	99.04	63.89
207	154	4	1.02702393740022e-83	2.20810146541048e-82	OSC.1	209	207	365	99.04	56.71
0	0	89	1.54764152681215e-27	2.21828618843075e-26	OSC.3	411	89	89	21.65	100
0	43	7	2.43747798977274e-25	2.6202888390057e-24	OSC.2	157	43	50	27.39	86
0	48	16	2.45591888024172e-23	2.11209023700788e-22	OSC.2	157	48	64	30.57	75
0	0	71	1.01275389109034e-21	7.25806955281407e-21	OSC.3	411	71	71	17.27	100
0	1	52	2.22695102936647e-14	1.36798420375369e-13	OSC.3	411	52	53	12.65	98.11
0	21	3	9.68323268758308e-13	5.2047375695759e-12	OSC.2	157	21	24.000000000001	13.38	87.5
0	1	40	7.04416660118313e-11	3.36554626500972e-10	OSC.3	411	40	41.0000000000704	9.73	97.56
1	3	49	1.34318731613579e-10	5.77570545938391e-10	OSC.3	411	49	53.0000000001343	11.92	92.45
0	2	26	4.24892712190561e-06	1.52253221868284e-05	OSC.3	411	26	28.0000042489271	6.33	92.86
0	1	23	3.9283624477401e-06	1.52253221868284e-05	OSC.3	411	23	24.0000039283624	5.6	95.83
1	0	19	4.62778810458056e-05	0.000153072991151511	OSC.3	411	19	20.000046277881	4.62	95
0	0	15	6.28187937352332e-05	0.000192943437901073	OSC.3	411	15	15.0000628187937	3.65	100
0	13	11	0.00018681752292896	0.000535543565729684	OSC.2	157	13	24.0001868175229	8.28	54.17
2	8	2	0.00055960925660906	0.00150394987713685	OSC.2	157	8	12.0005596092566	5.1	66.66
2	0	17	0.00075608728309969	0.00191245606901686	OSC.3	411	17	19.0007560872831	4.14	89.47
1	11	9	0.00089278661457306	0.00213276802370231	OSC.2	157	11	21.0008927866146	7.01	52.38
2	13	39	0.00216380737634697	0.00489703774646947	OSC.3	411	39	54.0021638073763	9.49	72.22
1	2	17	0.00258215459736359	0.00528726893745878	OSC.3	411	17	20.0025821545974	4.14	84.99
4	10	6	0.00246196075048325	0.00528726893745878	OSC.2	157	10	20.0024619607505	6.37	49.99
3	1	18	0.00437064296270156	0.0085426203361894	OSC.3	411	18	22.0043706429627	4.38	81.8
0	0	8	0.00593333241122564	0.0110927518992479	OSC.3	411	8	8.00593333241123	1.95	99.93
4	5	26	0.00685753224212072	0.0122864119337996	OSC.3	411	26	35.0068575322421	6.33	74.27
2	0	12	0.0109174479043971	0.0173870466625584	OSC.3	411	12	14.0109174479044	2.92	85.65
1	5	2	0.0104937888124853	0.0173870466625584	OSC.2	157	5	8.01049378881249	3.18	62.42
11	5	5	0.0105294061251035	0.0173870466625584	OSC.1	209	11	21.0105294061251	5.26	52.35
1	4	17	0.0157654600359429	0.0242112421980552	OSC.3	411	17	22.0157654600359	4.14	77.22
1	7	7	0.0180512204942853	0.0267656028018713	OSC.2	157	7	15.0180512204943	4.46	46.61
1	5	3	0.0197926224448445	0.0274542827460746	OSC.2	157	5	9.01979262244484	3.18	55.43
1	5	3	0.0197926224448445	0.0274542827460746	OSC.2	157	5	9.01979262244484	3.18	55.43
0	1	8	0.0285247463254892	0.0371686088483647	OSC.3	411	8	9.02852474632549	1.95	88.61
1	0	8	0.0285247463254892	0.0371686088483647	OSC.3	411	8	9.02852474632549	1.95	88.61
4	6	4	0.0443478912149165	0.0560870388894532	OSC.2	157	6	14.0443478912149	3.82	42.72
2	4	3	0.0871818167687651	0.107109089173054	OSC.2	157	4	9.08718181676877	2.55	44.02
5	3	16	0.12145041102674	0.145065768726383	OSC.3	411	16	24.1214504110267	3.89	66.33
4	2	2	0.140610185318017	0.163411836991209	OSC.1	209	4	8.14061018531802	1.91	49.14
5	4	2	0.164300052765813	0.185918480761315	OSC.2	157	4	11.1643000527658	2.55	35.83
3	4	13	0.192255922400528	0.211974478544172	OSC.3	411	13	20.1922559224005	3.16	64.38
2	1	7	0.221946690042046	0.2385926917952	OSC.3	411	7	10.221946690042	1.7	68.48
1	3	5	0.26659460685193	0.279599221820317	OSC.2	157	3	9.26659460685193	1.91	32.37
5	4	12	0.432901177955827	0.443208348859537	OSC.3	411	12	21.4329011779558	2.92	55.99
14	12	31	0.490635674435929	0.490635674435929	OSC.2	157	12	57.4906356744359	7.64	20.87
