OSC.2.10	OSC.2.6	OSC.2.8	OSC.3.1	OSC.3.2	OSC.3.3	OSC.3.4	OSC.3.5	OSC.3.7	OSC.3.9	p	q	enriched.osc	nsamples	maxcol	event.size	class.percent	event.percent
0	0	0	0	0	0	0	71	0	0	1.25801410570469e-53	5.2836592439597e-52	OSC.3.5	133	71	0	53.38	Inf
0	48	0	0	0	0	0	16	0	0	7.12479712526133e-50	1.49620739630488e-48	OSC.2.6	53	48	48	90.57	100
0	5	38	0	0	0	1	6	0	0	4.98125452185438e-44	6.97375633059613e-43	OSC.2.8	42	38	43	90.48	88.37
60	53	41	0	0	0	0	1	3	0	2.19364268140892e-33	2.30332481547937e-32	OSC.2.6	53	53	154	100	34.42
0	0	1	0	0	0	49	3	0	0	1.12789668467096e-18	9.47433215123609e-18	OSC.3.4	211	49	1	23.22	4900
4	2	7	0	14	0	9	13	3	0	6.99433039569334e-15	4.89603127698534e-14	OSC.3.2	15	14	13	93.33	107.69
0	6	15	0	0	0	1	2	0	0	6.43598223190771e-13	3.86158933914463e-12	OSC.2.8	42	15	21	35.71	71.43
0	0	0	0	0	0	67	0	22	0	8.40455866639329e-12	4.41239329985648e-11	OSC.3.7	33	22	0	66.67	Inf
3	1	1	0	0	0	10	5	3	8	3.08492344443957e-11	1.43963094073847e-10	OSC.3.9	8	8	5	100	160
1	0	0	5	0	0	2	0	1	0	2.6030134584948e-10	1.09326565256782e-09	OSC.3.1	5	5	6	100	83.33
1	0	0	0	0	0	34	6	0	0	5.73669761660042e-10	2.19037545361107e-09	OSC.3.4	211	34	1	16.11	3400
2	0	1	0	0	0	40	9	0	0	1.01622838842421e-09	3.55679935948473e-09	OSC.3.4	211	40	3	18.96	1333.33
2	2	0	0	0	6	5	6	0	0	1.19470457846369e-09	3.85981479195961e-09	OSC.3.3	6	6	4	100	150
0	1	1	0	0	0	5	88	22	0	3.7897227486819e-09	1.13691682460457e-08	OSC.3.7	33	22	2	66.67	1100
0	13	0	0	0	0	0	11	0	0	1.08881531597908e-08	3.04868288474143e-08	OSC.2.6	53	13	13	24.53	100
1	0	0	0	0	0	7	6	10	0	1.19016335319004e-07	3.12417880212386e-07	OSC.3.7	33	10	1	30.3	1000
0	0	0	0	0	0	18	1	0	0	1.43305080747766e-07	3.54047846553305e-07	OSC.3.4	211	18	0	8.53	Inf
1	0	0	0	0	0	9	2	7	0	3.58305433064568e-05	8.36046010483993e-05	OSC.3.7	33	7	1	21.21	700
0	0	0	0	0	0	14	3	0	0	0.000146300444139919	0.000323400981782979	OSC.3.4	211	14	0	6.64	Inf
1	0	2	0	0	0	15	1	0	0	0.00019769774208193	0.000397839173690369	OSC.3.4	211	15	3	7.11	500
6	1	1	0	0	0	0	1	1	0	0.000198919586845185	0.000397839173690369	OSC.2.10	62	6	8	9.68	75
0	0	0	0	0	0	8	0	0	0	0.00033315782345341	0.000636028572047418	OSC.3.4	211	8	0	3.79	Inf
0	1	1	0	0	0	19	7	0	0	0.000719239596533399	0.0013133940458436	OSC.3.4	211	19	2	9	950
4	7	0	0	0	0	0	9	0	0	0.00124290922674102	0.00217509114679678	OSC.2.6	53	7	11	13.21	63.64
0	0	0	0	0	0	10	2	0	0	0.0013043489753216	0.0021913062785403	OSC.3.4	211	10	0	4.74	Inf
1	2	1	0	0	0	1	10	2	0	0.00154716258174499	0.00249926263204961	OSC.3.5	133	10	4	7.52	250
2	1	1	0	0	0	12	0	0	0	0.00207443640249872	0.00322690107055357	OSC.3.4	211	12	4	5.69	300
2	3	5	0	0	0	1	5	0	0	0.00413433686197383	0.00620150529296075	OSC.2.8	42	5	10	11.9	50
1	1	0	0	0	0	13	3	1	0	0.00494423693418614	0.00716061900813165	OSC.3.4	211	13	2	6.16	650
10	2	0	0	0	0	25	6	0	0	0.0120624255326217	0.0168873957456704	OSC.2.10	62	10	12	16.13	83.33
1	1	1	0	2	0	1	1	1	0	0.0166457331823974	0.0225522836664739	OSC.3.2	15	2	3	13.33	66.67
0	0	0	0	0	0	10	4	1	0	0.0182782192430302	0.0239901627564772	OSC.3.4	211	10	0	4.74	Inf
1	3	1	0	0	0	1	2	0	0	0.0307062455151287	0.0390806761101638	OSC.2.6	53	3	5	5.66	60
0	0	0	0	0	0	6	2	0	0	0.0333466603875147	0.0411929334198711	OSC.3.4	211	6	0	2.84	Inf
1	1	2	0	0	0	0	1	1	0	0.0662206879283156	0.0794648255139788	OSC.2.8	42	2	4	4.76	50
3	2	1	0	0	0	0	4	0	0	0.0850888079116411	0.0965872954672683	OSC.2.10	62	3	6	4.84	50
3	1	1	0	0	0	2	3	0	0	0.0850888079116411	0.0965872954672683	OSC.2.10	62	3	5	4.84	60
2	1	2	0	0	0	1	1	0	0	0.0884288611323242	0.0977371623041478	OSC.2.8	42	2	5	4.76	40
2	1	2	0	0	0	1	2	0	0	0.112491014333459	0.121144169282187	OSC.2.8	42	2	5	4.76	40
2	2	3	1	0	0	3	3	0	0	0.117706896573663	0.123592241402346	OSC.3.1	5	1	8	20	12.5
1	2	1	0	0	0	2	1	0	0	0.13241639885326	0.135646067117974	OSC.2.6	53	2	4	3.77	50
1	0	0	0	0	0	5	1	1	0	0.382394839229299	0.382394839229299	OSC.3.7	33	1	1	3.03	100
