OSC.2.10.10	OSC.2.10.11	OSC.2.10.12	OSC.2.10.8	OSC.2.10.9	OSC.2.8.1	OSC.2.8.2	OSC.3.4.14	OSC.3.4.15	OSC.3.4.16	OSC.3.4.17	OSC.3.4.18	OSC.3.5.13	OSC.3.5.3	OSC.3.5.4	OSC.3.7.5	OSC.3.7.6	OSC.3.7.7	p	q	enriched.osc	nsamples	maxcol	event.size	class.percent	event.percent
0	0	0	0	0	0	1	0	49	0	0	0	0	0	3	0	0	0	8.24827659557274e-53	3.46427617014055e-51	OSC.3.4.15	58	49	0	84.48	Inf
0	0	0	0	0	11	27	0	0	1	0	0	5	0	1	0	0	0	1.50126436670081e-32	3.15265517007169e-31	OSC.2.8.2	27	27	0	100	Inf
0	1	0	0	1	1	0	0	9	31	0	0	2	0	7	0	0	0	9.04193278260133e-30	1.26587058956419e-28	OSC.3.4.16	36	31	1	86.11	3100
0	0	0	0	0	15	0	0	0	0	0	1	2	0	0	0	0	0	7.79444653216755e-26	8.18416885877593e-25	OSC.2.8.1	15	15	0	100	Inf
7	33	4	2	14	15	26	0	0	0	0	0	1	0	0	0	0	3	1.67512658769175e-24	1.40710633366107e-23	OSC.2.10.11	33	33	46	100	71.74
0	0	0	0	0	0	0	0	0	0	0	0	45	26	0	0	0	0	2.5992571997024e-24	1.81948003979168e-23	OSC.3.5.3	26	26	0	100	Inf
0	0	1	0	0	0	0	28	2	4	0	0	0	1	5	0	0	0	9.65230255271718e-22	5.79138153163031e-21	OSC.3.4.14	51	28	1	54.9	2800
0	0	0	0	0	1	0	0	2	2	0	1	4	26	58	5	2	15	8.34948546531669e-18	4.38347986929126e-17	OSC.3.5.3	26	26	0	100	Inf
0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	1.09806684043331e-17	5.12431192202211e-17	OSC.3.5.13	49	16	0	32.65	Inf
0	1	0	0	0	0	0	0	3	1	0	3	0	0	6	9	1	0	3.71191404970409e-13	1.55900390087572e-12	OSC.3.7.5	9	6	1	66.67	600
0	0	0	0	0	0	0	15	3	0	0	0	0	0	1	0	0	0	8.73248483959588e-13	3.33422148420934e-12	OSC.3.4.14	51	15	0	29.41	Inf
0	0	0	0	0	0	0	12	0	13	0	42	0	0	0	5	2	15	3.64534244404177e-12	1.27586985541462e-11	OSC.3.7.7	15	2	0	13.33	Inf
0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	4.09273235682245e-12	1.32226737681956e-11	OSC.3.5.13	49	11	0	22.45	Inf
6	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1.39564754882519e-10	4.18694264647556e-10	OSC.2.10.10	8	6	6	75	100
0	1	0	0	0	0	0	4	2	1	0	2	0	0	2	0	7	0	1.53327267060182e-09	4.29316347768508e-09	OSC.3.7.6	9	0	1	0	0
0	0	0	0	10	0	0	2	18	1	0	4	1	2	3	0	0	0	5.27079501316675e-09	1.38358369095627e-08	OSC.2.10.9	14	10	0	71.43	Inf
1	0	0	0	0	1	1	2	2	2	9	0	0	0	1	0	0	0	6.10467415644574e-09	1.50821361512189e-08	OSC.3.4.17	21	9	1	42.86	900
0	0	0	0	0	0	0	0	3	3	8	0	1	0	2	0	0	0	5.89931894133716e-08	1.37650775297867e-07	OSC.3.4.17	21	8	0	38.1	Inf
0	0	0	3	0	0	1	0	0	0	0	0	4	0	0	0	0	0	3.03820763110951e-06	6.38023602532998e-06	OSC.2.10.8	3	3	3	100	100
0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	2.92684848691228e-06	6.38023602532998e-06	OSC.3.4.16	36	6	0	16.67	Inf
0	0	4	0	0	3	4	2	2	1	1	3	6	0	7	0	3	0	2.6743218844965e-05	5.348643768993e-05	OSC.2.10.12	4	4	4	100	100
0	0	0	0	0	0	0	7	3	0	0	0	1	1	0	0	0	0	5.30504354997357e-05	0.000101278104135859	OSC.3.4.14	51	7	0	13.73	Inf
0	0	0	0	0	1	0	10	5	4	0	0	3	0	4	0	0	0	0.000157480767806102	0.000287573575993752	OSC.3.4.14	51	10	0	19.61	Inf
